==> Preparing data...
Files already downloaded and verified
==> Building model...
Semilla: 622
Epoca 84: cross entropy 0.01489 and accuracy 91.780
Epoca 85: cross entropy 0.01276 and accuracy 91.760
Epoca 86: cross entropy 0.01333 and accuracy 91.820
Epoca 87: cross entropy 0.01170 and accuracy 92.390
Epoca 88: cross entropy 0.01342 and accuracy 91.710
Epoca 89: cross entropy 0.01401 and accuracy 91.780
Epoca 90: cross entropy 0.01235 and accuracy 91.990
Epoca 91: cross entropy 0.01242 and accuracy 91.640
Epoca 92: cross entropy 0.01097 and accuracy 92.260
Epoca 93: cross entropy 0.01074 and accuracy 92.190
Epoca 94: cross entropy 0.01137 and accuracy 92.330
Epoca 95: cross entropy 0.00992 and accuracy 92.230
Epoca 96: cross entropy 0.01011 and accuracy 92.110
Epoca 97: cross entropy 0.01133 and accuracy 92.210
Epoca 98: cross entropy 0.01048 and accuracy 91.840
Epoca 99: cross entropy 0.01101 and accuracy 91.950
Epoca 100: cross entropy 0.01225 and accuracy 91.940
Epoca 101: cross entropy 0.00876 and accuracy 92.040
Epoca 102: cross entropy 0.00984 and accuracy 91.860
Epoca 103: cross entropy 0.00906 and accuracy 91.960
Epoca 104: cross entropy 0.01165 and accuracy 91.960
Epoca 105: cross entropy 0.00997 and accuracy 92.230
Epoca 106: cross entropy 0.00825 and accuracy 92.100
Epoca 107: cross entropy 0.01001 and accuracy 91.870
Epoca 108: cross entropy 0.00749 and accuracy 92.180
Epoca 109: cross entropy 0.01086 and accuracy 91.860
Epoca 110: cross entropy 0.00703 and accuracy 92.270
Epoca 111: cross entropy 0.00745 and accuracy 92.040
Epoca 112: cross entropy 0.00906 and accuracy 91.940
Epoca 113: cross entropy 0.00911 and accuracy 91.970
Epoca 114: cross entropy 0.00853 and accuracy 92.350
Epoca 115: cross entropy 0.01022 and accuracy 92.140
Epoca 116: cross entropy 0.00812 and accuracy 92.110
Epoca 117: cross entropy 0.00640 and accuracy 92.490
Epoca 118: cross entropy 0.00821 and accuracy 91.890
Epoca 119: cross entropy 0.00422 and accuracy 92.190
Epoca 120: cross entropy 0.00626 and accuracy 91.280
Epoca 121: cross entropy 0.00869 and accuracy 92.120
Epoca 122: cross entropy 0.00852 and accuracy 91.920
Epoca 123: cross entropy 0.00722 and accuracy 92.340
Epoca 124: cross entropy 0.00685 and accuracy 91.930
Epoca 125: cross entropy 0.00866 and accuracy 91.670
Epoca 126: cross entropy 0.00772 and accuracy 92.020
Epoca 127: cross entropy 0.00731 and accuracy 91.930
Epoca 128: cross entropy 0.00641 and accuracy 92.130
Epoca 129: cross entropy 0.00694 and accuracy 91.880
Epoca 130: cross entropy 0.00737 and accuracy 92.210
Epoca 131: cross entropy 0.00639 and accuracy 92.260
Epoca 132: cross entropy 0.00527 and accuracy 92.290
Epoca 133: cross entropy 0.00659 and accuracy 92.060
Epoca 134: cross entropy 0.00697 and accuracy 92.020
Epoca 135: cross entropy 0.00569 and accuracy 92.170
Epoca 136: cross entropy 0.00684 and accuracy 91.780
Epoca 137: cross entropy 0.00774 and accuracy 92.330
Epoca 138: cross entropy 0.00534 and accuracy 92.200
Epoca 139: cross entropy 0.00466 and accuracy 92.210
Epoca 140: cross entropy 0.00615 and accuracy 92.090
Epoca 141: cross entropy 0.00522 and accuracy 92.190
Epoca 142: cross entropy 0.00615 and accuracy 92.600
Epoca 143: cross entropy 0.00438 and accuracy 92.660
Epoca 144: cross entropy 0.00430 and accuracy 92.630
Epoca 145: cross entropy 0.00559 and accuracy 92.400
Epoca 146: cross entropy 0.00618 and accuracy 92.590
Epoca 147: cross entropy 0.00621 and accuracy 92.480
Epoca 148: cross entropy 0.00450 and accuracy 92.500
Epoca 149: cross entropy 0.00546 and accuracy 92.490
Epoca 150: cross entropy 0.00333 and accuracy 92.910
Epoca 151: cross entropy 0.00227 and accuracy 92.980
