Epoca	CrossEntropy	Accuracy
0	2.6354		24.2
1	1.8434		37.81
2	1.6446		42.13
3	1.6787		36.17
4	1.6812		43.58
5	1.4958		47.35
6	1.3712		52.54
7	1.2579		59.02
8	1.133		62.95
9	1.0219		65.03
10	0.9322		67.59
11	0.8677		69.65
12	0.8063		71.96
13	0.7586		73.74
14	0.7		75.37
15	0.6465		77.8
16	0.6139		79.16
17	0.5747		79.82
18	0.5408		79.73
19	0.5106		82.02
20	0.4778		80.39
21	0.4596		82.72
22	0.4384		80.03
23	0.419		82.16
24	0.4057		82.89
25	0.386		83.55
26	0.3716		84.51
27	0.3559		84.4
28	0.3409		85.32
29	0.3288		83.76
30	0.3165		85.62
31	0.3023		86.25
32	0.2942		85.41
33	0.2799		84.72
34	0.278		86.29
35	0.2616		85.98
36	0.2528		86.41
37	0.2417		86.82
38	0.2342		85.74
39	0.2282		85.88
40	0.2124		87.66
41	0.2138		87.14
42	0.2041		86.92
43	0.1941		87.33
44	0.1903		87.65
45	0.1793		87.91
46	0.175		87.7
47	0.1708		88.19
48	0.1643		87.75
49	0.1627		87.34
50	0.1516		88.26
51	0.1483		87.98
52	0.1396		87.92
53	0.1365		88.3
54	0.1313		88.69
55	0.1307		88.5
56	0.1235		88.09
57	0.1187		88.79
58	0.1132		88.68
59	0.1126		89.12
60	0.1093		87.68
61	0.1058		88.87
62	0.0982		89.28
63	0.0941		88.9
64	0.0987		88.1
65	0.0935		88.48
66	0.0896		88.89
67	0.0845		88.78
68	0.0858		88.81
69	0.0813		88.75
70	0.0781		89.1
71	0.075		89.42
72	0.0756		88.78
73	0.0728		89.5
74	0.0697		89.66
75	0.0642		89.57
76	0.0646		89.52
77	0.0605		89.35
78	0.0601		89.44
79	0.0621		89.2
80	0.0586		89.64
81	0.0514		89.42
82	0.055		89.92
83	0.0512		89.63
84	0.0532		89.73
85	0.0502		90.17
86	0.0466		89.83
87	0.0535		89.38
88	0.0469		90.28
89	0.0466		90.22
90	0.0409		90.04
91	0.0425		90.05
92	0.0464		89.78
93	0.0443		90.03
94	0.0444		89.49
95	0.0388		90.49
96	0.039		90.11
97	0.0372		90.34
98	0.0363		89.53
99	0.0348		90.03
100	0.032		89.89
101	0.0341		90.0
102	0.0337		90.63
103	0.0337		90.15
104	0.0343		90.59
105	0.033		90.58
106	0.0326		90.22
107	0.0321		90.07
108	0.0277		89.8
109	0.029		90.24
110	0.033		89.87
111	0.0327		89.89
112	0.0304		90.46
113	0.0266		90.68
114	0.0277		90.18
115	0.026		90.94
116	0.0252		90.17
117	0.023		90.55
118	0.0251		90.59
119	0.0267		90.33
120	0.0255		90.6
121	0.0212		90.36
122	0.0206		90.38
123	0.022		90.17
124	0.024		90.98
125	0.0191		91.04
126	0.0218		90.41
127	0.0229		90.52
128	0.021		90.67
129	0.0205		90.77
130	0.0229		90.35
131	0.0208		90.87
