Epoca	CrossEntropy	Accuracy
0	2.7435		20.94
1	1.9855		30.28
2	1.8398		36.23
3	1.6976		42.17
4	1.5995		43.53
5	1.5204		45.16
6	1.4373		51.63
7	1.3434		55.47
8	1.2398		54.55
9	1.1632		59.28
10	1.0874		62.34
11	1.0154		64.21
12	0.9566		66.09
13	0.9046		69.02
14	0.8512		70.11
15	0.8095		70.39
16	0.7612		70.42
17	0.7329		73.8
18	0.6878		74.38
19	0.6621		75.31
20	0.6306		76.01
21	0.6084		79.66
22	0.5786		78.42
23	0.5569		79.1
24	0.5269		79.31
25	0.503		80.47
26	0.4854		81.7
27	0.457		81.12
28	0.4451		81.54
29	0.4219		81.84
30	0.4059		82.39
31	0.3901		82.35
32	0.3808		83.38
33	0.3583		83.86
34	0.3495		83.23
35	0.3327		83.86
36	0.3242		85.1
37	0.3095		83.83
38	0.2981		85.03
39	0.2901		83.47
40	0.2764		84.49
41	0.2697		84.68
42	0.261		85.32
43	0.2439		85.61
44	0.239		84.23
45	0.2336		86.55
46	0.2203		86.43
47	0.2127		86.08
48	0.2004		86.25
49	0.1943		86.73
50	0.1888		87.81
51	0.178		87.33
52	0.1721		87.09
53	0.167		87.49
54	0.1592		87.14
55	0.1537		86.8
56	0.1474		88.08
57	0.1441		87.6
58	0.1368		88.48
59	0.1331		87.6
60	0.1266		87.91
61	0.1218		88.77
62	0.1179		88.33
63	0.114		88.44
64	0.1109		88.06
65	0.1083		88.22
66	0.105		87.83
67	0.0946		87.9
68	0.0917		88.61
69	0.0909		88.69
70	0.0872		88.69
71	0.0858		88.23
72	0.0845		88.39
73	0.0868		88.49
74	0.0754		89.02
75	0.0743		88.44
76	0.072		88.21
77	0.0687		88.88
78	0.0673		89.02
79	0.0664		88.51
80	0.0654		88.96
81	0.0629		89.01
82	0.0582		89.1
83	0.0571		88.7
84	0.0557		88.76
85	0.0541		88.71
86	0.0557		89.01
87	0.053		89.06
88	0.0484		89.14
89	0.0522		89.29
90	0.0467		89.19
91	0.0475		89.1
92	0.0437		89.06
93	0.0421		88.89
94	0.0411		89.1
95	0.0402		89.91
96	0.0394		89.07
97	0.0383		89.0
98	0.0379		88.92
99	0.0373		89.46
100	0.0339		88.95
101	0.0362		89.0
102	0.0352		89.76
103	0.0346		89.44
104	0.0299		89.62
105	0.0353		89.38
106	0.0325		89.8
107	0.0303		89.3
108	0.0326		89.35
109	0.0304		88.97
110	0.0296		89.52
111	0.0271		89.32
112	0.027		89.66
113	0.0239		89.78
114	0.0264		89.35
115	0.0287		90.02
116	0.0237		89.57
117	0.026		89.88
118	0.0253		89.96
119	0.026		90.02
120	0.0222		89.67
121	0.0228		90.07
122	0.0258		89.89
123	0.0214		89.7
124	0.0194		90.13
125	0.0184		89.93
126	0.0215		90.23
127	0.0229		89.82
128	0.0207		89.83
129	0.0205		90.01
130	0.0182		90.07
131	0.0217		89.84
132	0.0193		90.14
133	0.0178		89.68
134	0.0183		90.15
135	0.0171		89.99
136	0.0188		89.3
137	0.017		90.51
138	0.0178		89.76
139	0.0175		90.27
140	0.0175		90.4
141	0.0159		90.63
142	0.0138		90.03
143	0.0182		90.28
144	0.0157		90.12
145	0.0152		90.2
146	0.015		90.49
147	0.0117		90.31
148	0.0175		89.49
149	0.0175		90.17
150	0.0104		90.82
151	0.0061		91.07
152	0.005		91.17
153	0.0044		91.19
154	0.0041		91.21
155	0.0034		91.04
156	0.0034		91.07
157	0.0028		91.07
158	0.0028		91.1
159	0.0025		91.11
160	0.0028		91.2
161	0.0023		91.17
162	0.0023		91.17
163	0.0021		91.31
164	0.0021		91.22
165	0.0021		91.45
166	0.0021		91.37
167	0.0019		91.54
168	0.0017		91.33
169	0.0019		91.32
170	0.0021		91.32
171	0.0021		91.33
172	0.0018		91.22
173	0.0021		91.2
174	0.0015		91.33
175	0.0014		91.28
176	0.0015		91.48
177	0.0016		91.39
178	0.0018		91.45
179	0.0016		91.4
180	0.0013		91.42
181	0.0018		91.48
182	0.0017		91.47
183	0.0015		91.32
184	0.0012		91.35
185	0.0011		91.43
186	0.0011		91.42
187	0.0013		91.52
188	0.0012		91.41
189	0.0013		91.34
190	0.0012		91.46
191	0.0012		91.4
192	0.0011		91.28
193	0.0012		91.29
194	0.0012		91.36
195	0.0011		91.4
