Epoca	CrossEntropy	Accuracy
0	3.9673		11.87
1	3.348		22.63
2	2.8471		30.98
3	2.3992		40.17
4	2.0598		44.6
5	1.8069		46.48
6	1.6103		50.82
7	1.448		52.91
8	1.3123		57.93
9	1.1926		58.93
10	1.0929		59.33
11	1.0021		62.77
12	0.9103		63.0
13	0.8302		64.1
14	0.7553		63.21
15	0.6943		63.77
16	0.6218		64.54
17	0.567		65.0
18	0.5086		64.39
19	0.4587		65.54
20	0.4191		65.03
21	0.3759		65.67
22	0.333		65.09
23	0.3008		66.47
24	0.2779		66.63
25	0.2461		66.55
26	0.2252		65.66
27	0.2094		65.79
28	0.1943		66.36
29	0.1664		66.96
30	0.1468		67.17
31	0.1407		67.62
32	0.1377		67.66
33	0.1262		67.95
34	0.1067		67.88
35	0.1085		67.84
36	0.1035		67.58
37	0.0968		67.74
38	0.0821		67.87
39	0.0775		68.56
40	0.0687		68.37
41	0.0747		69.59
42	0.0707		69.19
43	0.0637		68.57
44	0.0668		68.18
45	0.0562		69.21
46	0.0549		69.1
47	0.0556		69.01
48	0.0487		68.29
49	0.0421		68.99
50	0.0391		69.25
51	0.0457		68.89
52	0.0436		69.09
53	0.0466		69.12
54	0.0418		69.45
55	0.0388		68.64
56	0.0347		69.78
57	0.034		69.75
58	0.0296		69.77
59	0.0344		69.34
60	0.0289		69.63
61	0.0294		69.56
62	0.03		69.81
63	0.0304		69.98
64	0.0226		70.23
65	0.0208		69.7
66	0.0263		69.63
67	0.0297		69.66
68	0.0205		70.36
69	0.0193		70.4
70	0.0223		69.84
71	0.021		70.58
72	0.0192		70.35
73	0.0233		70.04
74	0.0273		69.53
75	0.0223		69.62
76	0.0208		70.2
77	0.0206		69.99
78	0.0184		69.17
79	0.0212		70.06
80	0.0179		70.08
81	0.0177		70.28
82	0.019		69.47
83	0.02		70.08
84	0.0177		69.21
85	0.019		70.04
86	0.0166		70.61
87	0.0142		70.66
88	0.0115		70.82
89	0.0149		70.51
90	0.0155		70.37
91	0.0138		70.08
92	0.0148		70.2
93	0.0164		70.14
94	0.0144		69.92
95	0.0124		70.42
96	0.0156		69.49
97	0.0147		69.69
98	0.0143		69.63
99	0.0154		70.16
100	0.0153		70.25
101	0.0116		70.29
102	0.0148		69.99
103	0.0119		70.56
104	0.0124		70.53
105	0.0104		70.64
106	0.0114		70.1
107	0.0129		70.53
108	0.0088		70.56
109	0.009		70.76
110	0.0086		70.97
111	0.01		70.87
112	0.0086		70.75
113	0.0078		70.6
114	0.0082		70.62
115	0.0062		70.76
116	0.0078		70.37
117	0.0063		70.96
118	0.0075		70.64
119	0.0081		70.58
120	0.0078		70.9
121	0.0069		70.61
122	0.0057		71.19
123	0.0067		70.77
124	0.0055		71.15
125	0.0057		70.98
126	0.006		70.93
127	0.0073		71.17
128	0.0079		70.65
129	0.0068		70.82
130	0.0059		71.16
131	0.0057		70.54
132	0.0054		71.07
133	0.0069		70.9
134	0.0059		70.71
135	0.006		70.83
136	0.0054		70.98
137	0.005		71.06
138	0.0045		71.24
139	0.0031		71.02
140	0.0058		70.77
141	0.0048		70.63
142	0.0034		71.73
143	0.0054		71.21
144	0.0064		70.59
145	0.0051		70.81
146	0.0066		70.4
147	0.0051		70.68
148	0.0066		70.24
149	0.0075		70.54
150	0.0052		71.0
151	0.0031		71.41
152	0.003		71.35
153	0.0024		71.49
154	0.0024		71.44
155	0.0017		71.58
156	0.0022		71.74
157	0.0018		71.85
158	0.0017		71.95
159	0.0018		71.88
160	0.0014		71.94
161	0.0018		71.89
162	0.0016		71.94
163	0.0014		71.97
164	0.0016		72.02
165	0.0013		72.04
166	0.0014		72.08
167	0.0013		72.0
168	0.0013		71.99
169	0.0012		72.09
170	0.0012		72.09
171	0.001		71.96
172	0.0013		71.93
173	0.0011		72.02
174	0.0012		71.95
175	0.0012		72.13
176	0.0012		71.98
177	0.001		72.18
178	0.0011		72.02
179	0.001		72.16
