Epoca	CrossEntropy	Accuracy
0	3.9759		13.49
1	3.3533		22.16
2	2.9054		30.77
3	2.4954		38.34
4	2.1385		42.33
5	1.8864		46.41
6	1.6702		46.68
7	1.5052		53.69
8	1.3632		55.97
9	1.2451		58.04
10	1.1315		59.42
11	1.0358		60.67
12	0.9428		62.73
13	0.8607		63.47
14	0.7816		62.26
15	0.7147		64.36
16	0.6444		64.27
17	0.5824		64.22
18	0.528		64.43
19	0.4744		64.65
20	0.4321		65.23
21	0.3852		65.18
22	0.3499		65.08
23	0.3154		65.9
24	0.2806		66.54
25	0.2571		65.4
26	0.2321		66.68
27	0.2161		66.53
28	0.1873		66.15
29	0.1723		66.76
30	0.159		66.34
31	0.1406		66.31
32	0.1361		67.05
33	0.1304		67.19
34	0.1127		67.01
35	0.1076		67.52
36	0.0966		67.35
37	0.0974		67.52
38	0.0911		68.04
39	0.0895		67.39
40	0.0724		67.96
41	0.0745		68.41
42	0.0649		67.96
43	0.0614		68.35
44	0.0643		68.36
45	0.0633		67.95
46	0.0656		68.35
47	0.0542		68.26
48	0.0475		68.61
49	0.0487		68.48
50	0.0489		68.85
51	0.0413		68.52
52	0.0447		68.92
53	0.0372		68.99
54	0.0412		69.08
55	0.039		68.5
56	0.0333		69.51
57	0.031		69.1
58	0.0301		69.24
59	0.0323		69.38
60	0.03		68.8
61	0.027		68.38
62	0.0329		68.93
63	0.0276		69.38
64	0.0313		70.14
65	0.0261		69.05
66	0.0261		69.59
67	0.0288		69.36
68	0.0262		69.31
69	0.0316		69.47
70	0.0204		69.97
71	0.0197		69.49
72	0.0227		69.44
73	0.0233		69.56
74	0.0253		69.65
75	0.0236		69.31
76	0.0202		70.02
77	0.0199		69.61
78	0.0187		70.07
79	0.0154		69.82
80	0.0135		69.79
81	0.018		70.0
82	0.0184		69.96
83	0.0167		69.9
84	0.0158		70.52
85	0.0177		69.51
86	0.0162		69.61
87	0.0198		69.71
88	0.0161		69.84
89	0.0145		69.61
90	0.011		70.51
91	0.0144		69.01
92	0.0129		70.16
93	0.0125		69.63
94	0.014		70.46
95	0.0113		70.29
96	0.0122		69.83
97	0.015		69.45
98	0.0161		69.82
99	0.014		69.52
100	0.0128		69.78
101	0.0112		69.72
102	0.012		70.06
103	0.0108		70.48
104	0.0126		69.99
105	0.012		69.89
106	0.0093		69.7
107	0.011		70.15
108	0.0092		70.27
109	0.0097		69.4
110	0.0132		70.1
111	0.013		70.14
112	0.0093		69.74
113	0.0094		70.17
114	0.0074		69.94
115	0.0106		70.1
116	0.0091		70.46
117	0.0121		69.84
118	0.0145		69.84
119	0.011		69.75
120	0.0118		70.03
121	0.01		69.7
122	0.0115		69.7
123	0.0097		69.85
124	0.0081		70.04
125	0.0089		69.9
126	0.0084		69.82
127	0.0077		70.07
128	0.009		70.43
129	0.0084		69.74
130	0.0073		70.54
131	0.008		70.48
132	0.0087		70.75
133	0.0087		70.08
134	0.0095		70.31
135	0.008		70.53
136	0.0076		70.57
137	0.0076		70.17
138	0.0068		70.07
139	0.0064		70.24
140	0.006		70.43
141	0.005		70.88
142	0.0044		70.47
143	0.007		70.32
144	0.0074		69.66
145	0.0056		70.62
146	0.0072		70.09
147	0.0078		70.71
148	0.0076		70.41
149	0.0076		70.03
150	0.006		70.72
151	0.0039		70.94
152	0.003		71.07
153	0.0027		71.28
154	0.0026		71.22
155	0.0024		71.36
156	0.002		71.22
157	0.0021		71.47
158	0.0019		71.38
159	0.002		71.36
160	0.0018		71.41
161	0.0016		71.57
162	0.0017		71.48
163	0.0013		71.38
164	0.0016		71.48
165	0.0014		71.56
166	0.0015		71.49
167	0.0013		71.51
168	0.0016		71.6
169	0.0015		71.41
170	0.0011		71.63
171	0.0015		71.58
172	0.0016		71.55
173	0.0013		71.61
174	0.0013		71.73
175	0.0014		71.71
176	0.0011		71.74
177	0.0011		71.72
178	0.0012		71.71
179	0.0011		71.72
