Epoca	CrossEntropy	Accuracy
0	3.9927		13.42
1	3.3473		23.53
2	2.8666		32.84
3	2.4331		38.95
4	2.102		45.4
5	1.8474		48.69
6	1.6433		50.78
7	1.4834		56.15
8	1.3464		57.33
9	1.2234		58.67
10	1.1212		59.53
11	1.0289		61.19
12	0.932		61.36
13	0.8574		60.77
14	0.7802		63.36
15	0.704		64.62
16	0.6436		64.23
17	0.5863		64.62
18	0.5288		63.92
19	0.4753		65.64
20	0.4332		63.77
21	0.388		64.82
22	0.3458		65.76
23	0.3209		65.7
24	0.2865		65.21
25	0.2639		66.64
26	0.2365		65.87
27	0.2225		65.81
28	0.195		66.42
29	0.1825		67.04
30	0.1638		67.48
31	0.1453		67.03
32	0.1422		67.27
33	0.1288		66.9
34	0.1136		67.12
35	0.1127		67.32
36	0.1048		66.47
37	0.0971		66.61
38	0.0933		66.94
39	0.0961		66.89
40	0.0799		67.92
41	0.0734		68.17
42	0.0714		67.62
43	0.0719		67.94
44	0.0599		68.31
45	0.0655		67.83
46	0.0593		68.64
47	0.0569		69.27
48	0.0591		67.95
49	0.0558		68.59
50	0.0498		68.51
51	0.0482		68.12
52	0.0526		67.88
53	0.0409		68.7
54	0.0403		68.83
55	0.0402		69.16
56	0.036		68.98
57	0.0391		68.8
58	0.0378		69.26
59	0.0364		69.65
60	0.031		69.25
61	0.0314		69.49
62	0.0324		69.19
63	0.0294		69.22
64	0.0296		69.05
65	0.0292		68.83
66	0.0305		68.88
67	0.0243		69.38
68	0.0255		69.07
69	0.0264		69.81
70	0.0261		69.2
71	0.0249		69.46
72	0.0253		69.71
73	0.0245		68.83
74	0.0252		69.08
75	0.0237		69.53
76	0.0187		69.57
77	0.0194		69.3
78	0.0191		69.49
79	0.0179		69.32
80	0.0178		70.02
81	0.0173		69.78
82	0.0144		69.62
83	0.0148		69.82
84	0.0143		69.75
85	0.0146		69.96
86	0.0179		69.01
87	0.0148		70.11
88	0.0127		70.43
89	0.0119		70.47
90	0.0118		70.64
91	0.0155		69.65
92	0.0162		69.55
93	0.0138		69.75
94	0.0121		70.48
95	0.0149		69.98
96	0.0122		70.22
97	0.0137		69.58
98	0.0154		69.87
99	0.015		70.06
100	0.0123		70.38
101	0.0119		70.41
102	0.0115		70.44
103	0.0126		69.8
104	0.012		70.04
105	0.0122		70.19
106	0.0117		69.72
107	0.0105		70.68
108	0.0098		70.43
109	0.0117		70.42
110	0.009		70.3
111	0.0112		69.4
112	0.0093		70.41
113	0.0081		70.06
114	0.0094		70.34
115	0.0094		70.19
116	0.0091		69.8
117	0.0077		70.39
118	0.0064		70.39
119	0.0079		70.55
120	0.0066		71.04
121	0.0061		70.74
122	0.0051		70.33
123	0.0066		70.16
124	0.0071		70.45
125	0.0058		70.88
126	0.0066		70.85
127	0.0054		70.74
128	0.0064		70.81
129	0.0059		70.95
130	0.0078		70.59
131	0.007		70.67
132	0.0072		70.21
133	0.0092		69.97
134	0.0084		69.8
135	0.0077		70.62
136	0.0072		70.09
137	0.0071		69.98
138	0.0107		70.42
139	0.0088		70.45
140	0.008		70.08
141	0.0087		70.35
142	0.0078		70.48
143	0.0097		70.27
144	0.0094		69.96
145	0.009		70.28
146	0.0086		70.17
147	0.0072		70.39
148	0.007		70.36
149	0.0074		70.19
150	0.0054		70.74
151	0.0037		70.88
152	0.0032		70.95
153	0.0024		70.98
154	0.0028		71.04
155	0.002		70.97
156	0.0019		71.09
157	0.0027		70.95
158	0.0021		71.06
159	0.002		71.18
160	0.0017		71.27
161	0.0018		71.43
162	0.0018		71.32
163	0.0016		71.34
164	0.0017		71.38
165	0.0013		71.28
166	0.0017		71.36
167	0.0016		71.5
168	0.0015		71.36
169	0.0013		71.42
170	0.0013		71.36
171	0.0014		71.36
172	0.0011		71.3
173	0.0016		71.45
174	0.0013		71.39
175	0.0012		71.52
176	0.0014		71.43
177	0.0012		71.58
178	0.0012		71.41
179	0.001		71.53
180	0.0012		71.55
181	0.0011		71.42
182	0.0011		71.34
183	0.0012		71.48
184	0.001		71.26
185	0.0011		71.47
186	0.001		71.44
187	0.0012		71.25
188	0.0013		71.6
189	0.0011		71.61
190	0.001		71.51
191	0.0011		71.65
192	0.0011		71.76
193	0.001		71.5
194	0.0008		71.5
195	0.0011		71.58
196	0.0012		71.55
197	0.0011		71.79
198	0.001		71.67
199	0.0011		71.64
200	0.0011		71.59
201	0.001		71.62
202	0.0011		71.63
203	0.0008		71.51
204	0.0011		71.8
205	0.0009		71.6
206	0.0011		71.64
207	0.0008		71.72
208	0.0011		71.6
209	0.001		71.69
210	0.001		71.62
211	0.0008		71.74
212	0.001		71.7
213	0.0008		71.73
214	0.0008		71.7
215	0.0008		71.68
216	0.0008		71.77
217	0.001		71.66
218	0.0008		71.66
219	0.0009		71.58
220	0.0009		71.76
221	0.0008		71.76
222	0.0008		71.71
223	0.0011		71.72
224	0.0009		71.77
225	0.0009		71.76
226	0.0009		71.68
227	0.0008		71.71
228	0.0008		71.75
229	0.0008		71.84
230	0.0008		71.83
231	0.0008		71.55
232	0.0007		71.65
233	0.0007		71.84
234	0.0008		71.85
235	0.0007		71.85
236	0.0008		71.78
237	0.0009		71.8
238	0.0008		71.69
239	0.0007		71.75
240	0.0008		71.82
241	0.0007		71.87
242	0.0008		71.9
243	0.0007		71.86
244	0.0008		71.79
245	0.0008		71.95
246	0.0007		71.85
247	0.0007		71.8
248	0.0006		71.88
249	0.0008		71.85
