Epoca	CrossEntropy	Accuracy
0	3.969		13.85
1	3.3493		22.03
2	2.9165		29.25
3	2.4889		38.68
4	2.1392		45.55
5	1.8847		49.11
6	1.6658		52.59
7	1.498		53.86
8	1.3457		57.09
9	1.2328		58.09
10	1.124		59.9
11	1.0262		60.26
12	0.9294		62.21
13	0.8556		63.63
14	0.7775		63.25
15	0.7113		64.26
16	0.6447		63.82
17	0.5771		63.88
18	0.53		64.79
19	0.4713		65.66
20	0.4287		65.29
21	0.3784		65.95
22	0.3431		65.08
23	0.313		66.83
24	0.2775		65.98
25	0.255		65.67
26	0.2252		65.07
27	0.2117		66.02
28	0.1966		66.71
29	0.1805		66.91
30	0.1584		66.67
31	0.1525		67.11
32	0.136		66.24
33	0.1289		66.98
34	0.1168		67.44
35	0.1079		67.93
36	0.1055		66.79
37	0.0922		67.34
38	0.0862		67.14
39	0.0813		67.78
40	0.083		67.41
41	0.0749		67.96
42	0.0693		68.3
43	0.0638		68.38
44	0.0602		68.61
45	0.0622		68.3
46	0.0567		68.4
47	0.0528		69.29
48	0.0484		68.6
49	0.051		68.34
50	0.047		68.65
51	0.0436		69.02
52	0.0419		69.27
53	0.0439		68.54
54	0.0426		68.94
55	0.0338		68.98
56	0.0337		69.09
57	0.033		69.06
58	0.0325		69.38
59	0.031		68.66
60	0.0283		69.1
61	0.035		68.58
62	0.0348		68.69
63	0.0345		68.67
64	0.03		68.76
65	0.0261		69.54
66	0.0269		69.39
67	0.0262		68.93
68	0.0251		69.69
69	0.0214		69.14
70	0.0224		69.5
71	0.0231		69.71
72	0.0194		70.39
73	0.0222		69.23
74	0.0222		69.68
75	0.0197		69.81
76	0.0201		70.25
77	0.0187		69.96
78	0.0209		69.85
79	0.0163		69.92
80	0.0159		69.71
81	0.0177		70.2
82	0.0188		69.82
83	0.0162		69.82
84	0.0161		69.86
85	0.0154		69.97
86	0.0143		69.89
87	0.0164		69.92
88	0.0147		70.34
89	0.0133		70.24
90	0.0146		70.38
91	0.0167		69.56
92	0.0149		69.44
93	0.0163		69.87
94	0.0153		69.88
95	0.013		69.75
96	0.012		70.28
97	0.012		70.36
98	0.0123		70.39
99	0.0098		70.05
100	0.0092		70.89
101	0.0101		69.89
102	0.0095		70.07
103	0.0102		69.96
104	0.0091		69.99
105	0.0097		70.2
106	0.0106		69.96
107	0.0084		70.38
108	0.0072		70.37
109	0.0082		70.18
110	0.0078		69.8
111	0.007		70.37
112	0.0087		69.77
113	0.0083		69.85
114	0.0068		69.98
115	0.0081		70.03
116	0.0089		70.3
117	0.0084		70.36
118	0.0082		70.42
119	0.0073		70.45
120	0.0072		70.36
121	0.0088		69.86
122	0.0096		70.3
123	0.0076		70.72
124	0.0073		70.82
125	0.0094		70.18
126	0.009		69.95
127	0.008		69.97
128	0.0091		69.93
129	0.0103		70.22
130	0.0104		70.13
131	0.0105		69.87
132	0.0093		70.42
133	0.0094		70.14
134	0.0089		70.17
135	0.007		70.43
136	0.008		70.71
137	0.0072		70.04
138	0.0078		69.83
139	0.0082		70.28
140	0.0083		70.53
141	0.0066		70.48
142	0.006		70.64
143	0.0049		70.26
144	0.0068		70.73
145	0.0058		70.86
146	0.0075		70.5
147	0.0061		69.88
148	0.007		70.29
149	0.0058		70.54
150	0.0045		71.1
151	0.0036		71.07
152	0.0027		71.12
153	0.0024		71.31
154	0.0018		71.1
155	0.0021		71.3
156	0.0019		71.19
157	0.0018		71.45
158	0.0018		71.41
159	0.002		71.3
160	0.0017		71.39
161	0.0016		71.45
162	0.0016		71.53
163	0.0015		71.34
164	0.0015		71.6
165	0.0015		71.44
166	0.0014		71.38
167	0.0014		71.59
168	0.0012		71.49
169	0.0013		71.56
170	0.0014		71.64
171	0.0011		71.51
172	0.0011		71.63
173	0.0012		71.68
174	0.0012		71.74
175	0.0013		71.8
176	0.0012		71.79
177	0.0012		71.72
178	0.0013		71.73
179	0.0011		71.81
180	0.0012		71.69
181	0.0012		71.79
182	0.0012		71.78
183	0.0011		71.73
184	0.001		71.87
185	0.0011		71.71
186	0.001		71.62
187	0.0011		72.02
188	0.0009		71.91
189	0.0011		71.84
190	0.0009		71.92
191	0.001		71.96
192	0.0011		71.78
193	0.0012		71.91
194	0.0009		71.78
195	0.0009		71.78
196	0.0009		72.0
197	0.0009		71.79
198	0.001		71.92
199	0.0009		71.89
200	0.0009		71.9
201	0.0008		71.82
202	0.0009		71.76
203	0.001		71.92
204	0.0009		71.97
205	0.001		71.81
206	0.001		71.95
207	0.0009		71.9
208	0.0009		71.82
209	0.0008		71.69
210	0.0008		71.69
211	0.0008		71.91
212	0.0009		71.87
213	0.0008		71.82
214	0.0009		71.86
215	0.0008		71.85
216	0.0007		71.86
217	0.0009		71.94
218	0.0008		71.8
219	0.0008		71.97
220	0.0008		71.91
221	0.0008		71.92
222	0.0008		71.87
223	0.0008		71.87
224	0.0008		71.87
225	0.0007		71.98
226	0.001		72.07
227	0.0008		71.85
228	0.0008		71.84
229	0.0007		71.93
230	0.0008		71.87
231	0.0008		71.94
232	0.0008		72.06
233	0.0008		71.93
234	0.0008		71.84
235	0.0007		71.97
236	0.0007		71.93
237	0.0008		71.89
238	0.0007		72.07
239	0.0008		72.15
240	0.0006		72.0
241	0.0009		72.03
242	0.0008		72.07
243	0.0007		72.2
244	0.0007		72.2
245	0.0008		72.19
246	0.0008		72.2
247	0.0008		72.05
248	0.0007		72.18
249	0.0006		71.89
