Epoca	CrossEntropy	Accuracy
0	3.9572		14.64
1	3.3211		24.85
2	2.8138		33.97
3	2.361		36.91
4	2.0248		44.47
5	1.7718		49.74
6	1.5692		53.39
7	1.4225		55.53
8	1.2867		57.56
9	1.1687		58.8
10	1.0701		60.72
11	0.9709		62.01
12	0.8961		62.93
13	0.8112		61.77
14	0.7425		63.61
15	0.6614		65.0
16	0.6085		65.78
17	0.5483		64.36
18	0.4941		64.61
19	0.4481		66.4
20	0.3988		66.33
21	0.3659		65.68
22	0.3215		66.78
23	0.2924		66.28
24	0.2654		66.33
25	0.2344		65.91
26	0.2118		65.83
27	0.1961		66.97
28	0.174		66.87
29	0.1669		67.1
30	0.1558		66.78
31	0.1481		67.25
32	0.1288		67.31
33	0.1246		67.68
34	0.1088		67.51
35	0.107		67.83
36	0.0967		67.62
37	0.0845		68.3
38	0.0779		68.63
39	0.0735		67.8
40	0.068		68.76
41	0.0695		68.51
42	0.0697		68.11
43	0.0666		68.82
44	0.0628		68.58
45	0.0564		68.6
46	0.0553		68.81
47	0.0578		68.95
48	0.0539		68.91
49	0.0453		69.18
50	0.0471		69.29
51	0.0469		68.83
52	0.0378		69.7
53	0.0349		69.72
54	0.033		69.26
55	0.0345		68.93
56	0.0366		69.23
57	0.0344		69.84
58	0.0358		69.27
59	0.0344		68.77
60	0.0334		69.65
61	0.0322		69.64
62	0.029		70.16
63	0.0267		69.65
64	0.0234		69.62
65	0.0216		69.92
66	0.0197		69.55
67	0.0247		69.54
68	0.0255		69.81
69	0.0213		69.72
70	0.023		69.54
71	0.0212		69.68
72	0.0206		69.9
73	0.0183		69.8
74	0.0188		70.22
75	0.0167		70.29
76	0.0162		70.31
77	0.0168		70.27
78	0.0154		69.66
79	0.016		69.34
80	0.0143		70.47
81	0.0149		70.12
82	0.0117		70.32
83	0.0106		69.78
84	0.0146		69.8
85	0.0135		70.04
86	0.014		70.49
87	0.016		70.34
88	0.0157		70.44
89	0.0123		70.25
90	0.0122		70.59
91	0.0095		70.52
92	0.0117		69.8
93	0.015		70.01
94	0.0116		70.51
95	0.0093		70.19
96	0.0133		70.16
97	0.0145		70.11
98	0.0126		70.02
99	0.0142		70.26
100	0.0128		70.57
101	0.0135		70.95
102	0.0088		70.33
103	0.0085		70.36
104	0.0092		70.51
105	0.0104		70.57
106	0.0098		70.7
107	0.0092		70.69
108	0.0092		71.13
109	0.0079		70.82
110	0.0107		70.47
111	0.01		70.46
112	0.0184		69.69
113	0.0124		70.46
114	0.0088		70.65
115	0.0098		70.83
116	0.01		71.31
117	0.0109		70.36
118	0.0103		70.91
119	0.0083		70.96
120	0.0099		71.09
121	0.0081		70.93
122	0.0098		71.12
123	0.0079		71.11
124	0.0078		71.18
125	0.0064		71.37
126	0.0093		71.17
127	0.0076		70.95
128	0.0063		71.0
129	0.0079		71.22
130	0.0074		71.06
131	0.0081		70.68
132	0.0066		71.57
133	0.0059		71.12
134	0.0078		70.63
135	0.009		70.47
136	0.0063		70.81
137	0.0071		70.72
138	0.0079		70.3
139	0.0102		70.03
140	0.0092		70.69
141	0.0093		70.75
142	0.0077		70.54
143	0.0088		70.41
144	0.0116		70.27
145	0.0078		70.53
146	0.0125		70.83
147	0.0093		70.73
148	0.0085		71.11
149	0.0095		70.51
150	0.0067		71.27
151	0.0046		71.39
152	0.0039		71.49
153	0.0029		71.54
154	0.0025		71.66
155	0.0022		71.82
156	0.0022		71.73
157	0.0019		71.69
158	0.0022		71.79
159	0.0017		71.78
160	0.0018		71.86
161	0.002		72.0
162	0.0016		71.86
163	0.0018		71.9
164	0.0017		71.92
165	0.0017		72.03
166	0.0018		71.95
167	0.0013		72.22
168	0.0013		72.25
169	0.0011		72.12
170	0.0014		72.02
171	0.0012		72.12
172	0.0011		72.18
173	0.0012		72.1
174	0.0012		72.13
175	0.0011		72.32
176	0.0013		72.19
177	0.0015		72.07
178	0.0011		72.18
179	0.0012		71.95
180	0.0012		72.08
181	0.0011		72.15
182	0.0012		72.07
183	0.0012		72.19
184	0.0013		72.14
185	0.001		72.25
186	0.0012		72.17
187	0.0011		72.37
188	0.001		72.19
189	0.0012		72.14
190	0.0012		72.12
191	0.0012		72.25
192	0.0011		72.19
193	0.0011		72.19
194	0.001		72.16
195	0.001		72.24
196	0.001		72.18
197	0.0009		72.36
198	0.0009		72.23
199	0.001		72.32
200	0.001		72.33
201	0.0008		72.33
202	0.0011		72.43
203	0.0008		72.44
204	0.001		72.45
205	0.001		72.39
206	0.0008		72.34
207	0.0008		72.51
208	0.0007		72.31
209	0.0011		72.32
210	0.0009		72.34
211	0.0009		72.28
212	0.0009		72.22
213	0.0008		72.28
214	0.0009		72.34
215	0.0009		72.26
216	0.0008		72.32
217	0.0009		72.16
218	0.0009		72.48
219	0.001		72.33
220	0.0007		72.37
221	0.0008		72.51
222	0.0009		72.3
223	0.001		72.27
224	0.0008		72.24
225	0.0008		72.25
226	0.0008		72.26
227	0.0008		72.15
228	0.0007		72.27
229	0.0009		72.3
230	0.0007		72.29
231	0.0009		72.39
232	0.0008		72.36
233	0.0007		72.45
234	0.0007		72.4
235	0.0008		72.19
236	0.0009		72.55
237	0.0007		72.22
238	0.0008		72.24
239	0.0007		72.3
240	0.0008		72.35
241	0.0007		72.35
242	0.0007		72.41
243	0.0009		72.42
244	0.0008		72.36
245	0.0007		72.45
246	0.0008		72.36
247	0.0008		72.28
248	0.0007		72.33
249	0.0007		72.36
